ID,Age,Gender_bin,Race,IRQ_TN,IRQ_TP,IRQ_EN,IRQ_EP,IRQ_TOTAL,BFI_e,time,outDegreeFullQ3,outDegreeFullQ4,outDegreeFullQ5,outDegreeFullQ6,outDegreeFullQ7,outDegreeFullQ8
1,18,0,NA,12,17,22,24,75,1.875,0,4,6,8,4,5,5
2,18,1,5,21,23,21,25,90,2.375,0,2,3,5,5,4,8
3,19,0,5,8,17,18,21,64,3.125,0,1,1,3,3,1,1
4,18,1,NA,25,21,26,25,97,2.875,0,4,3,3,4,5,4
5,19,0,NA,14,17,20,23,74,3.125,0,1,1,2,1,2,1
6,19,0,2,19,19,23,28,89,3.875,0,3,0,0,2,1,1
7,18,1,4,8,20,20,25,73,4.125,0,4,4,5,4,4,5
8,18,1,2,19,18,20,19,76,1.625,0,1,3,4,5,2,3
9,18,1,2,16,16,16,16,64,1.875,0,3,4,4,7,3,5
10,19,0,NA,6,10,15,16,47,2.25,0,1,3,3,8,4,8
11,18,1,NA,21,23,26,26,96,2.5,0,2,4,6,2,2,4
12,19,0,5,17,26,24,22,89,3.25,0,5,5,5,5,3,4
13,18,0,2,17,23,25,24,89,3.375,0,6,4,8,8,1,3
14,18,0,NA,18,18,24,24,84,2.875,0,5,4,8,5,2,4
15,18,1,NA,22,24,25,25,96,4,0,8,6,5,5,3,3
16,18,1,5,9,17,13,22,61,4.25,0,3,4,2,1,2,2
17,18,1,5,16,23,25,24,88,2.625,0,4,5,6,7,4,7
18,19,0,5,14,19,20,24,77,4.125,0,8,8,8,8,8,8
19,19,1,NA,19,20,23,23,85,1.875,0,8,8,8,8,8,8
20,18,1,5,24,25,27,28,104,4,0,7,4,5,8,8,8
21,18,1,NA,13,24,24,23,84,3.5,0,6,6,8,6,4,5
22,18,1,NA,18,21,25,19,83,2.875,0,3,2,5,8,5,8
23,18,1,NA,26,24,27,28,105,4.625,0,1,2,1,4,2,2
24,18,0,2,14,25,21,23,83,3.25,0,1,1,5,5,1,2
25,18,1,6,15,10,25,27,77,3,0,5,7,8,8,6,8
26,18,0,2,22,21,24,27,94,4.125,0,2,5,8,8,7,8
27,18,0,NA,21,23,27,28,99,3.125,0,5,6,4,5,3,5
28,18,1,5,9,14,12,21,56,4.125,0,2,1,6,6,6,7
29,19,1,5,24,23,25,26,98,2.375,0,3,3,6,6,5,6
30,19,0,5,15,19,19,20,73,3.25,0,3,3,2,4,3,3
31,18,1,5,24,23,28,22,97,4.125,0,7,3,8,6,1,7
32,18,1,5,14,20,24,25,83,3,0,1,1,1,3,2,4
33,19,0,5,12,17,18,15,62,2.375,0,0,2,5,2,1,4
34,19,0,6,14,22,17,24,77,4.375,0,1,1,4,3,1,4
35,18,1,5,17,18,26,25,86,5,0,8,8,8,8,8,8
36,18,1,6,22,28,24,25,99,2,0,2,1,2,1,1,3
37,19,0,4,13,24,23,25,85,3.5,0,1,2,3,6,3,6
38,18,0,5,10,21,26,23,80,2.625,0,2,3,3,6,5,6
39,18,1,2,14,19,22,25,80,2,0,4,3,5,4,3,7
40,20,1,5,24,24,24,23,95,2.5,0,3,1,2,3,3,1
41,19,0,6,22,22,26,24,94,3.875,0,8,3,4,4,4,3
42,19,1,5,9,15,21,16,61,3.25,0,4,6,3,3,4,5
43,18,0,5,10,26,16,21,73,3.375,0,6,6,8,7,7,7
44,18,1,5,25,22,27,25,99,4.375,0,5,6,4,4,5,4
45,19,1,7,15,26,25,21,87,3.125,0,3,2,7,5,6,4
46,18,0,5,13,21,20,23,77,3.75,0,6,8,8,8,8,8
47,19,1,6,7,22,19,15,63,2.75,0,2,2,4,3,3,7
48,18,1,3,22,24,27,28,101,2.625,0,5,4,6,3,3,4
49,18,1,7,22,16,26,25,89,4.75,0,4,2,8,4,3,4
50,19,1,5,16,21,18,21,76,3,0,3,2,5,8,7,8
51,19,0,NA,9,15,22,25,71,2.5,0,4,3,4,2,3,5
52,18,0,6,13,28,24,19,84,1.75,0,6,2,3,3,4,5
53,18,0,2,24,24,24,24,96,4.375,0,8,7,8,8,5,8
101,18,0,NA,23,25,28,27,103,3.625,0,5,6,7,6,5,7
102,18,0,2,9,12,17,18,56,2.875,0,1,1,8,6,4,4
103,19,0,NA,28,28,28,28,112,3.875,0,5,4,4,4,4,1
104,19,1,5,28,28,28,26,110,4.25,0,3,3,8,8,7,6
105,19,1,5,26,25,28,26,105,3.25,0,7,6,7,7,6,8
106,18,1,5,20,20,25,24,89,3,0,6,2,3,5,3,3
